[Spectrum]
Version            = 1
IDData             = 12ad_2026-06-08_16-00-50_000_073
IDDevice           = SAM_82E6
IDDataType         = SPECTRUM
IDDataTypeSub1     = CALIBRATED
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2026-06-08 16:00:50
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 20260608_FrameD
CommentSub1        = UV
CommentSub2        = right
CommentSub3        = 22.5cm
IDMethodType       = SAM Control
MethodName         = SAM_82E6
Mission            = No Mission
MissionSub         = 1
RecordType         = 0
[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2024-11-11_10-40-48_641_639
IDDataCal = DLAB_2024-11-12_11-45-27_171_455
IntegrationTime = 128
P31 = -1
P31e = 0
PathLength = +INF
PathLengthCustomOn = 0
RAWDynamic = 65535
Salinity = 0
Temperature = -NAN
Unit1 = $01 $01 Wavelength nm
Unit2 = $03 $06 Intensity mW/(m^2 nm)
Unit3 = $f0 $06 Error mW/(m^2 nm)
Unit4 = $f1 $00 Status 
p999 = 7441
[END] of [Attributes]
[DATA]
 0 6 0 0
 185.260577530984 -NAN 0 0
 187.468128380571 -NAN 0 0
 189.674861895872 -NAN 0 0
 191.880784034125 -NAN 0 0
 194.085900752568 -NAN 0 0
 196.290218008439 -NAN 0 0
 198.493741758976 -NAN 0 0
 200.696477961417 -NAN 0 0
 202.898432573 -NAN 0 0
 205.099611550963 -NAN 0 0
 207.300020852544 -NAN 0 0
 209.499666434981 -NAN 0 0
 211.698554255512 -NAN 0 0
 213.896690271375 -NAN 0 0
 216.094080439808 -NAN 0 0
 218.290730718049 -NAN 0 0
 220.486647063336 -NAN 0 0
 222.681835432907 -NAN 0 0
 224.876301784 -NAN 0 0
 227.070052073853 -NAN 0 0
 229.263092259704 -NAN 0 0
 231.455428298791 -NAN 0 0
 233.647066148352 -NAN 0 0
 235.838011765625 -NAN 0 0
 238.028271107848 -NAN 0 0
 240.217850132259 -NAN 0 0
 242.406754796096 -NAN 0 0
 244.594991056597 -NAN 0 0
 246.782564871 -NAN 0 0
 248.969482196543 -NAN 0 0
 251.155748990464 -NAN 0 0
 253.341371210001 -NAN 0 0
 255.526354812392 -NAN 0 0
 257.710705754875 -NAN 0 0
 259.894429994688 -NAN 0 0
 262.077533489069 -NAN 0 0
 264.260022195256 -NAN 0 0
 266.441902070487 -NAN 0 0
 268.623179072 -NAN 0 0
 270.803859157033 -NAN 0 0
 272.983948282824 -NAN 0 0
 275.163452406611 -NAN 0 0
 277.342377485632 -NAN 0 0
 279.520729477125 2.19840477489059 0 0
 281.698514338328 10.9031505637616 0 0
 283.875738026479 9.7415686740891 0 0
 286.052406498816 13.2741253804814 0 0
 288.228525712577 26.2695662526457 0 0
 290.404101625 29.027232530753 0 0
 292.579140193323 38.4266477741257 0 0
 294.753647374784 56.6922581531686 0 0
 296.927629126621 60.5846271472546 0 0
 299.101091406072 70.9070164886373 0 0
 301.274040170375 87.2078861122274 0 0
 303.446481376768 87.3611649901043 0 0
 305.618420982489 94.3096507385726 0 0
 307.789864944776 101.889709610458 0 0
 309.960819220867 101.379494766831 0 0
 312.131289768 107.383538800149 0 0
 314.301282543413 106.455770230426 0 0
 316.470803504344 91.1774100947319 0 0
 318.639858608031 86.1664481347268 0 0
 320.808453811712 82.3971211723727 0 0
 322.976595072625 70.690516455537 0 0
 325.144288348008 68.2789574966715 0 0
 327.311539595099 64.6826683393746 0 0
 329.478354771136 51.5914047368841 0 0
 331.644739833357 51.091676018817 0 0
 333.810700739 48.1003247010633 0 0
 335.976243445303 35.7426750450356 0 0
 338.141373909504 36.2125171798209 0 0
 340.306098088841 32.6995876626699 0 0
 342.470421940552 22.8395103442756 0 0
 344.634351421875 24.91790713575 0 0
 346.797892490048 22.0193462886392 0 0
 348.961051102309 14.1434622431512 0 0
 351.123833215896 17.1526480707971 0 0
 353.286244788047 14.5793378497549 0 0
 355.448291776 8.44075416254514 0 0
 357.609980136993 12.2832630461081 0 0
 359.771315828264 10.7358450963588 0 0
 361.932304807051 10.4647407280128 0 0
 364.092953030592 21.0415977731515 0 0
 366.253266456125 18.3630797599991 0 0
 368.413251040888 7.67750737020263 0 0
 370.572912742119 9.13723156876565 0 0
 372.732257517056 4.55895436871196 0 0
 374.891291322937 0.264753027582182 0 0
 377.050020117 6.99563432810296 0 0
 379.208449856483 2.34356091089284 0 0
 381.366586498624 -0.668060016190837 0 0
 383.524436000661 6.45498148547193 0 0
 385.682004319832 1.23519276438447 0 0
 387.839297413375 -0.776519523223084 0 0
 389.996321238528 5.85340648353278 0 0
 392.153081752529 0.323375283588918 0 0
 394.309584912616 -0.91381832348716 0 0
 396.465836676027 5.71397500650475 0 0
 398.621843 0.768882969100788 0 0
 400.777609841773 5.01405188416475 0 0
 402.933143158584 19.0527580162587 0 0
 405.088448907671 16.03355569586 0 0
 407.243533046272 11.7959416047109 0 0
 409.398401531625 10.8999263303328 0 0
 411.553060320968 3.62882328709909 0 0
 413.707515371539 5.89662537023148 0 0
 415.861772640576 12.0843833230492 0 0
 418.015838085317 10.9954472793504 0 0
 420.169717663 18.1975445834818 0 0
 422.323417330863 28.7874583874811 0 0
 424.476943046144 34.6000623546291 0 0
 426.630300766081 51.0602764531022 0 0
 428.783496447912 73.236773078918 0 0
 430.936536048875 99.5199270738454 0 0
 433.089425526208 156.905116480505 0 0
 435.242170837149 219.134905857345 0 0
