[Spectrum]
Version            = 1
IDData             = 12ad_2026-06-10_13-42-15_000_586
IDDevice           = SAM_82E6
IDDataType         = SPECTRUM
IDDataTypeSub1     = CALIBRATED
IDDataTypeSub2     = 
IDDataTypeSub3     = 
DateTime           = 2026-06-10 13:42:15
PositionLatitude   = 0
PositionLongitude  = 0
Comment            = 20260610_FrameA
CommentSub1        = con
CommentSub2        = centre
CommentSub3        = 28cm
IDMethodType       = SAM Control
MethodName         = SAM_82E6
Mission            = No Mission
MissionSub         = 1
RecordType         = 0
[Attributes]
CalFactor = 1
IDBasisSpec = 
IDDataBack = DLAB_2024-11-11_10-40-48_641_639
IDDataCal = DLAB_2024-11-12_11-45-27_171_455
IntegrationTime = 128
P31 = -1
P31e = 0
PathLength = +INF
PathLengthCustomOn = 0
RAWDynamic = 65535
Salinity = 0
Temperature = -NAN
Unit1 = $01 $01 Wavelength nm
Unit2 = $03 $06 Intensity mW/(m^2 nm)
Unit3 = $f0 $06 Error mW/(m^2 nm)
Unit4 = $f1 $00 Status 
p999 = 8236
[END] of [Attributes]
[DATA]
 0 6 0 0
 185.260577530984 -NAN 0 0
 187.468128380571 -NAN 0 0
 189.674861895872 -NAN 0 0
 191.880784034125 -NAN 0 0
 194.085900752568 -NAN 0 0
 196.290218008439 -NAN 0 0
 198.493741758976 -NAN 0 0
 200.696477961417 -NAN 0 0
 202.898432573 -NAN 0 0
 205.099611550963 -NAN 0 0
 207.300020852544 -NAN 0 0
 209.499666434981 -NAN 0 0
 211.698554255512 -NAN 0 0
 213.896690271375 -NAN 0 0
 216.094080439808 -NAN 0 0
 218.290730718049 -NAN 0 0
 220.486647063336 -NAN 0 0
 222.681835432907 -NAN 0 0
 224.876301784 -NAN 0 0
 227.070052073853 -NAN 0 0
 229.263092259704 -NAN 0 0
 231.455428298791 -NAN 0 0
 233.647066148352 -NAN 0 0
 235.838011765625 -NAN 0 0
 238.028271107848 -NAN 0 0
 240.217850132259 -NAN 0 0
 242.406754796096 -NAN 0 0
 244.594991056597 -NAN 0 0
 246.782564871 -NAN 0 0
 248.969482196543 -NAN 0 0
 251.155748990464 -NAN 0 0
 253.341371210001 -NAN 0 0
 255.526354812392 -NAN 0 0
 257.710705754875 -NAN 0 0
 259.894429994688 -NAN 0 0
 262.077533489069 -NAN 0 0
 264.260022195256 -NAN 0 0
 266.441902070487 -NAN 0 0
 268.623179072 -NAN 0 0
 270.803859157033 -NAN 0 0
 272.983948282824 -NAN 0 0
 275.163452406611 -NAN 0 0
 277.342377485632 -NAN 0 0
 279.520729477125 3.33787237900049 0 0
 281.698514338328 1.69745956047616 0 0
 283.875738026479 -4.92917655491778 0 0
 286.052406498816 4.07070275009159 0 0
 288.228525712577 1.68872313317396 0 0
 290.404101625 -4.89863742671706 0 0
 292.579140193323 4.39836557065403 0 0
 294.753647374784 1.4264819020169 0 0
 296.927629126621 -3.93502662637386 0 0
 299.101091406072 4.1478340423195 0 0
 301.274040170375 1.15274118071729 0 0
 303.446481376768 -3.01629713361124 0 0
 305.618420982489 4.11901817470127 0 0
 307.789864944776 0.894498985015501 0 0
 309.960819220867 -2.65644188594912 0 0
 312.131289768 4.95302807415802 0 0
 314.301282543413 2.55353559470108 0 0
 316.470803504344 2.37140319068658 0 0
 318.639858608031 15.9307517271184 0 0
 320.808453811712 17.1743873768377 0 0
 322.976595072625 18.7967046675235 0 0
 325.144288348008 31.4257160527554 0 0
 327.311539595099 26.9436143085345 0 0
 329.478354771136 23.9830625284955 0 0
 331.644739833357 32.6732345299215 0 0
 333.810700739 24.9956333095234 0 0
 335.976243445303 20.6405774246894 0 0
 338.141373909504 26.9813599321901 0 0
 340.306098088841 18.6476066740525 0 0
 342.470421940552 15.0338850229213 0 0
 344.634351421875 21.1792172527042 0 0
 346.797892490048 13.1660731283262 0 0
 348.961051102309 10.7258896188022 0 0
 351.123833215896 16.4440590607827 0 0
 353.286244788047 9.41401830579158 0 0
 355.448291776 8.01156194851277 0 0
 357.609980136993 13.7642125898059 0 0
 359.771315828264 8.19634988007587 0 0
 361.932304807051 11.7856933966879 0 0
 364.092953030592 22.9891535150146 0 0
 366.253266456125 16.0052492635525 0 0
 368.413251040888 10.1833322420683 0 0
 370.572912742119 12.8411552046965 0 0
 372.732257517056 3.63927572007706 0 0
 374.891291322937 3.47937455482752 0 0
 377.050020117 9.84692649498969 0 0
 379.208449856483 0.953913587426286 0 0
 381.366586498624 2.02421105410061 0 0
 383.524436000661 8.57403836849219 0 0
 385.682004319832 -0.561243013603757 0 0
 387.839297413375 1.41254213887249 0 0
 389.996321238528 7.59376666697793 0 0
 392.153081752529 -1.30430921025528 0 0
 394.309584912616 1.41390964105231 0 0
 396.465836676027 7.13570538813177 0 0
 398.621843 -0.644211484099021 0 0
 400.777609841773 6.57855638230164 0 0
 402.933143158584 18.7524040103165 0 0
 405.088448907671 13.376419472208 0 0
 407.243533046272 12.6905086579018 0 0
 409.398401531625 10.9996136500016 0 0
 411.553060320968 2.35490600847709 0 0
 413.707515371539 6.77166111642483 0 0
 415.861772640576 11.9527248583476 0 0
 418.015838085317 8.9223347206109 0 0
 420.169717663 17.2070582608567 0 0
 422.323417330863 25.9665864180058 0 0
 424.476943046144 29.3407886195877 0 0
 426.630300766081 45.1068593354873 0 0
 428.783496447912 63.7205017031298 0 0
 430.936536048875 84.9372652525396 0 0
 433.089425526208 135.917633534172 0 0
